INTEREST,Distance(KM),Travel Time(Min),nearby_places,Title,url,p_rating,count,itemId,Unique GENRE,UNIQUE INTEREST,Genre
"Adventureous ,Relaxation,Romantic",139.16km,137.7166667,NONE,"Thandiani, Abbottabad, PK",,2.2,158,1,Nature & Parks,Relaxation,Nature & Parks
"Adventureous ,Relaxation,Romantic",80.79km,150.6666667,NONE,"Dunga Gali Pine Line Track, Abbottabad, PK",,4.6,652,2,Outdoor Activities,Romantic,Nature & Parks
"Adventureous ,Relaxation",81.72km,152.5833333,NONE,"Mukshpuri Top, Abbottabad, PK",,5,783,3,Sights & Landmarks,Adventureous ,Outdoor Activities
"Adventureous ,Relaxation",90.51km,179.1666667,NONE,"Miranjani, Abbottabad, PK",,4.9,482,4,Shopping,Historical Heritage,Nature & Parks
Historical Heritage,133.04km,124.5833333,NONE,"Old Lockhart House, Abbottabad, PK",,4.2,890,5,Water & Amusement Parks,,Sights & Landmarks
"Relaxation,Romantic",148.83km,152.8833333,NONE,"Samandar Katha Lake, Abbottabad, PK",,1.9,656,6,Monuments & Statues,,Sights & Landmarks
"Adventureous ,Relaxation,Romantic",86.01km,164.3,NONE,"Green Spot, Abbottabad, PK",,4.5,350,7,Theme Parks,,Nature & Parks
"Relaxation,Romantic ",622.91km,412,NONE,"Bahawalpur Trade Center, Bhawalpur, PK",,2,700,8,Gardens,,Shopping
Historical Heritage,18.73km,33.83333333,NONE,"Abbasi Mosque, Bhawalpur, PK",,3.2,25,9,Shopping Malls,,Sights & Landmarks
"Historical Heritage,Relaxation,Romantic",658.7km,431.15,NONE,"Head Panjnad, Bhawalpur, PK",,5,345,10,Museums,,Sights & Landmarks
"Relaxation,Romantic",623.27km,413.6333333,NONE,"Gulzar-e-Sadiq, Bhawalpur, PK",,4.8,120,11,Points of Interest & Landmarks,,Nature & Parks
"Relaxation,Romantic",678.8km,477.6666667,NONE,"Lal Suhanra National Park, Bhawalpur, PK",,1.5,456,12,Geologic Formations,,Nature & Parks
"Relaxation,Romantic",622.01km,410.5,NONE,"Bahawalpur Zoo, Bhawalpur, PK",,3.5,990,13,Bodies of Water,,Outdoor Activities
Historical Heritage,713.29km,495.2,NONE,"The Abbasi Royal Graveyard, Bhawalpur, PK",,4,222,14,Military Bases & Facilities,,Sights & Landmarks
"Historical Heritage,Relaxation",625.48km,420.1333333,NONE,"Noor Mahal, Bhawalpur, PK",,1.5,43,15,Historic Sites,,Sights & Landmarks
Historical Heritage,656.67km,424.9666667,NONE,"Tomb of Bibi Jawindi, Bhawalpur, PK",,4.2,678,16,Valleys,,Sights & Landmarks
Historical Heritage,623.94km,414.3833333,NONE,"Darbar Mahal, Bhawalpur, PK",,2,789,17,Scenic Walking Areas,,Sights & Landmarks
Historical Heritage,629.8km,424.1333333,NONE,"Jalaluddin Surkh-Posh Bukhari, Bhawalpur, PK",,3.2,567,18,Sacred & Religious Sites,,Sights & Landmarks
Historical Heritage,622.97km,413.6666667,NONE,"Jamia Masjid Al Sadiq, Bhawalpur, PK",,3.8,245,19,Waterfalls,,Sights & Landmarks
Historical Heritage,568.59km,405.1,NONE,"Islam Barrage, Bhawalpur, PK",,4.5,890,20,Mountains,,Sights & Landmarks
"Historical Heritage,Adventureous ",713.36km,495.2166667,NONE,"Derawar Fort, Bhawalpur, PK",,4.2,13,21,Scenic Drives,,Sights & Landmarks
"Relaxation,Romantic,Adventureous ",623.31km,413.5833333,NONE,"Ss World Park, Bhawalpur, PK",,1,123,22,Nature & Wildlife Areas,,Water & Amusement Parks
"Relaxation,Romantic,Adventureous ",347.42km,425.4166667,NONE,"Babusar Pass, Chillas, PK",,5,67,23,Hiking Trails,,Sights & Landmarks
"Relaxation,Romantic,Adventureous ,Historical Heritage",389.38km,490.95,NONE,"Chitral Valley, Chitral, PK",,3.9,412,24,Fun & Games,,Nature & Parks
"Relaxation,Romantic,Adventureous ,Historical Heritage",401.62km,522.45,NONE,"Bumburet Valley, Chitral, PK",,4.8,25,25,Playgrounds,,Nature & Parks
"Relaxation,Romantic,Adventureous ,Historical Heritage",#VALUE!,#VALUE!,NONE,"Chitral Gol National Park, Chitral, PK",,3.5,654,26,Bridges,,Nature & Parks
"Relaxation,Adventureous ,Historical Heritage",546.89km,#VALUE!,NONE,"Shandur Pass, Chitral, PK",,2.9,134,27,Dams,,Outdoor Activities
